Word	Occurrences
Veremos	3
Voltou	3
Vou-lhe	3
Vão	3
Vê	3
abraçar	3
abre	3
abria	3
acabar	3
aceitar	3
aceitava	3
acerca	3
achar	3
achara	3
acolá	3
acontecimentos	3
acreditou	3
adiante	3
agonias	3
aguadeiros	3
aguazil	3
ajuntou	3
alameda	3
albardão	3
alcova	3
algozes	3
almoçar	3
alteração	3
alumia	3
amantes	3
amas	3
amigas	3
amurada	3
angústias	3
animada	3
anoitecer	3
ante	3
antigos	3
apaixonado	3
apanhar	3
apareceram	3
aparecido	3
apertou	3
arma	3
armado	3
armas	3
aromas	3
arrancava	3
aspecto	3
assassinos	3
assassínio	3
atalho	3
autor	3
aves	3
avisado	3
aviso	3
bacharel	3
bagagem	3
bala	3
balas	3
balbuciou	3
banco	3
bastante	3
bateu	3
beber	3
bebeu	3
beira	3
belo	3
bezerros	3
bilhete	3
bolsa	3
bonita	3
brasão	3
breca	3
brincadeira	3
brios	3
brutal	3
cabeceira	3
camarote	3
capa	3
capricho	3
caprichosas	3
carícias	3
casasse	3
castigada	3
castigo	3
causara	3
cavaleiro	3
caíra	3
ceia	3
cem	3
cerca	3
chaga	3
chama	3
chamando	3
chapéu	3
chora	3
chore	3
cintura	3
cismava	3
ciência	3
clarão	3
cláusula	3
colocou	3
comarca	3
comovido	3
companheiro	3
comum	3
conceito	3
condiscípulo	3
conheci	3
conhecida	3
conseguiu	3
constância	3
contando	3
contava	3
contemplava	3
contemplou	3
contentamento	3
conversar	3
corria	3
crise	3
cuidar	3
cuide	3
cuja	3
curar	3
curvou-se	3
custa	3
dai	3
dar-lhe	3
decerto	3
decisão	3
deixam	3
deixaram	3
delícias	3
delírio	3
demais	3
derradeiro	3
desastre	3
desceu	3
desejos	3
desobediência	3
desordem	3
dever	3
deveres	3
devota	3
diabos	3
direi	3
direita	3
dissera	3
disseram	3
ditado	3
dizer-lhe	3
dizes	3
doença	3
doido	3
dormir	3
dormitórios	3
dote	3
durante	3
dão	3
dúvida	3
embarque	3
emboscada	3
emos	3
encostada	3
enferma	3
enforcado	3
ensejo	3
entender	3
entendido	3
entra	3
entrada	3
entrara	3
entrarem	3
entregar	3
enviava	3
eras	3
escada	3
esconder	3
esconder-se	3
escreve	3
escrevia-lhe	3
escrita	3
escuridade	3
espero	3
espionagem	3
esquecer	3
esquecimento	3
esquina	3
esquinas	3
estará	3
estranhos	3
estrela	3
estrondo	3
estudo	3
estômago	3
estúpido	3
eternidade	3
examinou	3
excelente	3
exclamando	3
exclamava	3
existência	3
extremo	3
extremosa	3
falando	3
falemos	3
falou	3
famílias	3
fantasia	3
fato	3
favores	3
fazes	3
faço	3
feio	3
feiras	3
feições	3
feridos	3
ferimento	3
fez-se	3
ficam	3
ficava	3
fiel	3
fiéis	3
flauta	3
foge	3
folhagem	3
fontes	3
formar	3
formava	3
formosa	3
fresta	3
fugido	3
fugitivo	3
fujo	3
funda	3
fúria	3
galas	3
galinha	3
galope	3
gemido	3
generosa	3
grito	3
guarda	3
haver	3
haviam	3
horror	3
hortelão	3
hóspeda	3
imaginação	3
imensa	3
imortalidade	3
imprudência	3
incidente	3
indiferença	3
inevitável	3
infâmia	3
inocente	3
instante	3
inteligência	3
inventada	3
irei	3
irmãos	3
ironia	3
irritado	3
irá	3
jamais	3
jantar	3
jeito	3
joelhos	3
julgava	3
largar	3
lealdade	3
lei	3
leitora	3
leitura	3
lembrança	3
lembro	3
lentamente	3
leres	3
leva	3
levado	3
levantou	3
levava	3
levem	3
li	3
ligado	3
lindo	3
linho	3
loja	3
longas	3
luneta	3
lutar	3
ma	3
madrugada	3
maldito	3
manda	3
mandar	3
mandei	3
mando	3
maravilhas	3
margem	3
mate	3
matem	3
meditou	3
merecimentos	3
mesmas	3
mesmos	3
ministro	3
minutos	3
miúdo	3
mocidade	3
modéstia	3
monta	3
morre-se	3
morrendo	3
morresse	3
morrido	3
mortal	3
mortes	3
mosteiros	3
mudez	3
mártir	3
máxima	3
narrativa	3
nasceu	3
navalha	3
nessa	3
nestes	3
nora	3
noutra	3
nove	3
obrigar	3
orar	3
oração	3
orações	3
ousadia	3
ousou	3
ouvi-lo	3
ouço	3
paga	3
pancadas	3
pano	3
passageiro	3
passaram	3
passear	3
passeava	3
pastéis	3
paternal	3
patrimônio	3
país	3
pedido	3
penas	3
pensa	3
pensamento	3
pensando	3
pequena	3
perdera	3
perdeu	3
perdi	3
perdoe	3
perguntar	3
perna	3
pernas	3
período	3
pescoço	3
pior	3
pistola	3
poderei	3
poderia	3
podão	3
pontos	3
pormenores	3
porteira	3
posto	3
pranto	3
prazeres	3
pressa	3
primavera	3
principio	3
procuro	3
pronta	3
prostrado	3
proteção	3
préstito	3
próprio	3
próxima	3
pundonor	3
pura	3
pusera	3
pálida	3
pôde	3
qualquer	3
quarenta	3
queda	3
queriam	3
quietação	3
quinta	3
quisera	3
quiserem	3
raro	3
recado	3
receando	3
receava	3
recebera	3
recebia	3
recolher	3
recompensa	3
recurso	3
reis	3
reixas	3
relanceando	3
remate	3
remorsos	3
rente	3
repugnância	3
retorquiu	3
ribanceira	3
rumor	3
réis	3
réplica	3
réu	3
sacudindo	3
salvação	3
salvá-lo	3
santuário	3
seguida	3
seguiu	3
segurar	3
sejam	3
serenamente	3
seriedade	3
serra	3
simpatia	3
sobrado	3
sobrinha	3
sofrer	3
sofrimento	3
soluços	3
som	3
somente	3
sono	3
sossegada	3
submissa	3
suicido	3
supor	3
sítios	3
súbito	3
súplicas	3
tenhas	3
tentativa	3
termos	3
terror	3
testa	3
testemunha	3
tiros	3
tive	3
tivessem	3
tomara	3
torna	3
torno	3
tortura	3
tranquilo	3
travesseiro	3
trazia	3
trevas	3
tropel	3
trouxe	3
trás	3
unicamente	3
unidos	3
vai-se	3
veja	3
velhas	3
velhice	3
veremos	3
viagem	3
vimos	3
vinagre	3
vinham	3
viram	3
vivia	3
vivo	3
voltar	3
voto	3
vício	3
À	3
És	3
ímpetos	3
17	2
Abriu	2
Abriu-se	2
Acabara	2
Afinal	2
Afora	2
Ah	2
Ai	2
Albuquerques	2
Além	2
Amor	2
Ana	2
Andava	2
Anjo	2
Apenas	2
Apresentou-se	2
Aquelas	2
Azevedo	2
Açores	2
Bento	2
Botelhos	2
Brito	2
Brocas	2
Candal	2
Carção	2
Casada	2
Castelo-Branco	2
Conceição	2
Condoeu-se	2
Conheço	2
Correais	2
Correram	2
Cristo	2
Cuidas	2
Cuide	2
Das	2
Decorridos	2
Deixa	2
Deixa-me	2
Deixou	2
Deixá-lo	2
Desembargo	2
Dez	2
Dionísia	2
Disse-lhe	2
Disto	2
Dize-me	2
Dizem	2
Dizendo	2
Dois	2
Donde	2
Dá-me	2
Eis-me	2
Escassamente	2
Esperava	2
Essa	2
Estamos	2
Esteja	2
Esteve	2
Estrelava-se	2
Estás	2
Exmo	2
Faial	2
Fala	2
Falemos	2
Fanny	2
Feliz	2
Fez	2
Fuja	2
Hoje	2
Horas	2
Hás	2
III	2
Ignorava	2
Igreja	2
Ilmo	2
Imaculada	2
Inglaterra	2
Irei	2
Japão	2
Jesus	2
Juiz	2
Lembre-se	2
Mal	2
Mande-me	2
Margarida	2
Meneses	2
Minha	2
Miragaia	2
Morrerei	2
Morrerás	2
Nesse	2
Noutra	2
Numa	2
Nós	2
Oh	2
Olé	2
Ontem	2
Ordenações	2
Outra	2
Outro	2
Ouvira	2
Oxalá	2
Paixões	2
Parece-me	2
Paris	2
Parte	2
Paço	2
Pede	2
Pensava	2
Pense	2
Penso	2
Pereira	2
Peça-lhe	2
Pobre	2
Poderá	2
Podes	2
Porém	2
Posso	2
Procura-a	2
Quantas	2
Regente	2
Reino	2
Retirou-se	2
Ritinha	2
Rompe	2
Rua	2
Seja	2
Sentou-se	2
Sousa	2
Só	2
Talvez	2
Tempo	2
Teria	2
Tive	2
Todas	2
Vais	2
Veio	2
Vejo	2
Vem	2
Ver-nos	2
Vista-se	2
Vive	2
Vossemecê	2
abafada	2
abaixo	2
abalou	2
abandonar	2
aberta	2
abismo	2
abomino	2
aborrecido	2
abriam	2
abrigo	2
abrilhantava	2
abrira	2
absoluta	2
absolutamente	2
acanhamento	2
aceita	2
aceleradamente	2
acenando	2
acharás	2
acho	2
acintemente	2
acompanhado	2
acompanharem	2
acompanhou	2
acompanhá-lo	2
acordou	2
acudia	2
acudiam	2
acusar	2
acusação	2
adivinha	2
adivinhando	2
adornos	2
afastou	2
afeita	2
afeição	2
afeto	2
afetos	2
afetuoso	2
aflita	2
aflitivas	2
aflito	2
aflição	2
afronta	2
agradecer	2
agradecido	2
alcançar	2
alegre	2
alegrias	2
aleive	2
alentos	2
algoz	2
alheado	2
alimentos	2
altivez	2
altos	2
altura	2
alucinado	2
alumiar	2
alveitar	2
alívio	2
amado	2
amanho	2
amarguras	2
amasse	2
ambições	2
amores	2
amparo	2
amputação	2
andasse	2
anel	2
anelos	2
angústia	2
antro	2
anéis	2
apagou	2
apanhando	2
aparecesse	2
apareceu	2
apelação	2
apelidos	2
aperradas	2
aperrando	2
aperrou	2
aperta	2
aperto	2
aplicação	2
aposentos	2
apreensões	2
apresentar	2
aprumo	2
aquilo	2
arca	2
arrogante	2
arte	2
artificial	2
asas	2
assento	2
assinatura	2
assomou	2
assustada	2
assustado	2
aterrado	2
atirar-lhe	2
atirar-me	2
atiro	2
ato	2
atrevia	2
atrevimento	2
aturde	2
aulas	2
avessas	2
avesso	2
avisar	2
aviventar	2
avós	2
azul	2
ação	2
bacamartes	2
baetão	2
baixa	2
banqueta	2
barata	2
barba	2
bastavam	2
bate	2
batendo	2
baús	2
bebia	2
beco	2
beijar	2
beijos	2
beleza	2
bem-aventurança	2
bens	2
bexiga	2
bigorna	2
bonitas	2
bonito	2
botar	2
bote	2
brados	2
branca	2
brandamente	2
branduras	2
bulha	2
caixa	2
caixote	2
caldeirão	2
calor	2
calças	2
cambaleando	2
caminhos	2
camisa	2
canalha	2
canto	2
capela	2
capital	2
capote	2
capítulo	2
carga	2
cargo	2
carinhosa	2
carro	2
casara	2
cassa	2
casta	2
castigar	2
cautelas	2
cautério	2
cavalgaduras	2
caímos	2
cedo	2
cegamente	2
cego	2
cercada	2
cercado	2
chafariz	2
chamam	2
charco	2
cheia	2
chita	2
choraria	2
clara	2
claridade	2
clavinas	2
clima	2
cobarde	2
cobardes	2
colchão	2
colete	2
coma	2
come	2
comitiva	2
comovida	2
comoções	2
